INDEX,SRC,FIELD_NAME,SBID,SCAN,CAL_SBID,STATE,RA_HMS,DEC_DMS,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,POL_AXIS,SCAN_START,SCAN_LEN,SCAN_TINT,NBEAMS_I,MOSAIC_TIME,NPIXELS_V,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,MINIMUM,MAXIMUM,MED_RMS_uJy,MODE_RMS_uJy,STD_RMS_uJy,MIN_RMS_uJy,MAX_RMS_uJy,SELAVY_TIME,NUM_SELAVY,SELECT,DEFECT,ANOMALY,COMMENT,MinUV,FSCALE,FMETHOD
20,13,EMU_1430-81,70567,0,70568,OBSERVED,14 30 09.636,-81 08 49.22,217.54015,-81.1470055555556,306.829806020567,-19.0319089826967,97.128,5245564738.01971,36010.96704056671,36001.01376,36,5245713557.978671,133962464,15.000000000000012,15.000000000000012,0.0,-0.03192777559161186,2.5104169845581055,35.67627838932204,34.59767660965704,14.330097836079986,24.743110803076743,844.6317172386277,5245816316,4536,1,0,0,,0,1.0,--NULL--
21,14,EMU_1200-83,70407,0,70404,OBSERVED,12 00 00,-82 59 26.35,180.0,-82.9906527777778,301.272682252946,-20.2852082923636,135.0,5244468540.383615,35941.29408028534,35941.29408000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0,0,,0,1.0,--NULL--
22,14,EMU_1200-83,73385,0,73386,OBSERVED,12 00 00,-82 59 26.35,180.0,-82.9906527777778,301.272682252946,-20.2852082923636,135.0,5252817628.45939,36010.96704056671,36001.01376,36,5253112925.864896,132418080,15.000000000000012,15.000000000000012,0.0,-0.006466310005635023,1.7306770086288452,28.790422949285485,28.42873520698841,7.788087602511091,20.100596748165415,427.4067154100332,5253150984,4536,1,0,0,,0,1.0,--NULL--
23,15,EMU_0929-81,70463,0,70465,OBSERVED,09 29 50.363,-81 08 49.22,142.459845833333,-81.1470055555556,295.61978296038,-21.299520323345,172.872,5244792901.964158,36001.0137601178,36001.01376,36,5244850743.328245,134130700,15.000000000000012,15.000000000000012,0.0,-0.054077811539173126,1.5684599876403809,34.37314641484514,33.51803158353296,11.01933186672964,24.536702436725683,481.26690117317804,5244987465,4536,1,0,0,,0,1.0,--NULL--
24,16,EMU_0812-77,72615,0,72617,IMAGED,08 12 40.391,-77 06 42.13,123.168295833333,-77.1117027777778,289.887236425198,-22.0611732014545,-167.502,5250651249.623423,36010.96703961304,36010.96704,36,5250861755.816684,133897517,15.000000000000012,15.000000000000012,0.0,-0.014018679969012737,4.081183433532715,58.31763760260603,60.969452994410894,35.93610071437256,28.64685016176805,1252.9273121510726,5250945710,4536,1,0,0,,0,1.0,--NULL--
25,17,EMU_0734-72,-1,0,-1,__NULL__,07 34 48.396,-72 19 38.12,113.70165,-72.3272555555556,284.095607153596,-22.5594377146938,-157.699,5246335720.968574,36020.92032006195,36020.920320000005,36,5246457020.728806,125796108,15.000000000000012,15.000000000000012,0.0,-0.0201466362923384,0.615004897117615,189.577693670568,178.285220102286,141.654562321192,140.272126363948,1555.19019170016,5246475740,0,1,0,0,,0,1.0,--NULL--
26,18,EMU_1726-73,70174,0,70204,OBSERVED,17 26 41.655,-73 38 12.38,261.6735625,-73.6367722222222,319.196717702986,-20.2978591530286,52.994,5242820552.921471,36010.96703961304,36010.96704,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0,0,,0,1.0,--NULL--
27,18,EMU_1726-73,70319,0,70320,OBSERVED,17 26 41.655,-73 38 12.38,261.6735625,-73.6367722222222,319.196717702986,-20.2978591530286,52.994,5243679993.545086,36010.96704056671,36010.96704,36,5243736894.558196,105956030,15.000000000000012,15.000000000000012,0.0,-0.007087766658514738,1.0499801635742188,36.30491373183729,35.84148722333159,14.769982857055963,25.832353475979296,1010.9198109320661,5243780894,4536,1,0,0,,0,1.0,--NULL--
28,18,EMU_1726-73,71649,0,71681,OBSERVED,17 26 41.655,-73 38 12.38,261.6735625,-73.6367722222222,319.196717702986,-20.2978591530286,52.994,5248002948.452734,36001.0137601178,36001.01376,36,5248295942.839452,133735519,15.000000000000012,15.000000000000012,0.0,-0.003163135377690196,0.9763785600662231,36.07799151458062,35.36888564113312,12.510924530485585,26.0914872539229,875.9228767864433,5248351968,4536,1,0,0,,0,1.0,--NULL--
29,19,EMU_1710-79,70400,0,70397,IMAGED,17 10 49.671,-78 57 10.22,257.7069625,-78.9528388888889,313.715848372118,-22.027478553872,57.072,5244314314.64179,36001.0137601178,36001.01376,36,5244370855.906661,134129373,15.000000000000012,15.000000000000012,0.0,-0.029225382953882217,2.8742125034332275,33.74940532503347,33.234755823854975,356.9685045071198,23.558738145057674,35460.710461887276,5244512224,4536,1,0,0,,0,1.0,--NULL--
30,20,EMU_1626-84,74250,0,74251,OBSERVED,16 26 10.766,-84 07 01.029,246.544858333333,-84.1169525,308.100995120876,-23.5505956785659,68.345,5255411248.742783,36010.96703961304,36001.01376,36,5255475190.436537,133258146,15.000000000000012,15.000000000000012,0.0,-0.007104906719177961,2.350440263748169,32.759116083007996,32.3598654960673,33.888108350228784,22.964412411377992,3133.6074052164518,5255560908,4536,1,0,0,,0,1.0,--NULL--
31,21,EMU_1200-87,73778,0,73779,IMAGED,12 00 00,-87 39 42.58,180.0,-87.6618277777778,302.358602755295,-24.8475678055451,135.0,5254019169.177982,36001.0137601178,35991.06048000001,36,5254087320.45693,130391176,15.000000000000012,15.000000000000012,0.0,-0.0039128949865698814,1.7020198106765747,30.533588224203168,30.111562196089587,9.090596007823294,20.983022382915063,434.7904394784621,5254146784,4536,1,0,0,,0,1.0,--NULL--
32,22,EMU_0733-84,-1,0,-1,__NULL__,07 33 49.233,-84 07 01.029,113.4551375,-84.1169525,296.501276578307,-25.9004325197255,-158.345,5119340914.15181,905.7484803479,905.74848,36,5165890461.472,126214854,18.3,12.3,1.58,-0.0202800314873457,1.02641272544861,176.819796381923,166.272028929385,129.008773534096,117.221771477769,1489.78525307375,5166419980,4536,1,0,0,,-1,1.0,--NULL--
33,23,EMU_0649-79,72607,0,72617,IMAGED,06 49 10.328,-78 57 10.22,102.293033333333,-78.9528388888889,290.547782008752,-26.6936697758284,-147.072,5250565496.144255,36020.92032006195,36020.920320000005,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0,0,,0,1.0,--NULL--
34,23,EMU_0649-79,72915,0,72916,IMAGED,06 49 10.328,-78 57 10.22,102.293033333333,-78.9528388888889,290.547782008752,-26.6936697758284,-147.072,5251428800.520575,36010.96703961304,36010.96704,-1,5251515982.539485,133932202,15.000000000000012,15.000000000000012,0.0,-0.006787303369492292,2.048807382583618,42.4810092125759,42.2723903726246,15.707796140135125,25.68400957745212,435.60610602218367,5254847928,4536,1,0,0,,100,1.0,--NULL--
35,24,EMU_0633-73,-1,0,-1,__NULL__,06 33 18.344,-73 38 12.38,98.3264333333333,-73.6367722222222,284.522501493974,-27.2149887905698,-142.994,5119338555.22445,905.748479394226,905.74848,36,5165890318.451,125734880,12.9,8.70000000000001,13.72,-0.102611668407917,3.67503523826599,191.951752415933,176.986877003285,151.965141935417,137.061432258035,2617.18354108512,5166419915,4536,1,0,0,,-1,1.0,--NULL--
