cal_sbid,sbid,field
74146,74140,EMU_0857-04B
74222,74221,EMU_1706-55
74222,74230,EMU_1708-60
74222,74234,EMU_0918+04A
74236,74235,EMU_1749-60
74236,74238,EMU_0918+04B
74236,74239,EMU_1818-55
74236,74249,EMU_0721-51
74251,74250,EMU_1626-84
74258,74256,EMU_0744-46
74258,74257,EMU_1546-60
74258,74259,EMU_0510-51
74258,74260,EMU_1532-51
74261,74263,EMU_0822-23
74261,74264,EMU_1358-04B
74276,74272,EMU_0230-09A
74276,74274,EMU_0940+04A
74276,74275,EMU_1830-60
74287,74283,EMU_0737-23
74287,74285,EMU_1912-60
74301,74299,EMU_0857-09A
74301,74300,EMU_0940-04A
74301,74303,EMU_2129-09B
74311,74304,EMU_0232-41
74311,74309,EMU_0940-04B
74311,74310,EMU_1419-04B
74311,74312,EMU_0144-37
74311,74313,EMU_0857-09B
74311,74314,EMU_1253+00B
74311,74315,EMU_2129+04A
74385,74361,EMU_1944-46
74385,74381,EMU_0940+04B
74385,74400,EMU_0237-37
74385,74401,EMU_0940+00A
74439,74410,EMU_1844-46
74439,74411,EMU_0230-09B
74439,74412,EMU_0940+00B
74439,74413,EMU_1544-46
74439,74416,EMU_0421-37
74439,74440,EMU_2129-04A
74454,74441,EMU_0423-41
74454,74446,EMU_1502-09A
74454,74455,EMU_0124-28
74454,74456,EMU_1001+04A
74454,74457,EMU_1554-55
74454,74458,EMU_0210-37
74544,74517,EMU_1930-55
74544,74538,EMU_1001+04B
74614,74595,EMU_2059-41
74614,74605,EMU_1001+00A
74614,74617,EMU_2044-46
74614,74627,EMU_1605-51
74691,74690,EMU_1644-46
74691,74712,EMU_0917-55
74759,74757,EMU_0732-60
74759,74787,EMU_0448-37
74813,74812,EMU_2129+04B
74813,74815,EMU_0522-09A
74813,74821,EMU_1253-04A
74813,74824,EMU_2059-51
74813,74825,EMU_0842-55
74858,74856,EMU_1253-04B
74858,74872,EMU_0514-37
74858,74873,EMU_1023-04A
74879,74876,EMU_2132-51
74879,74878,EMU_0844-46
74879,74880,EMU_2114-46
74879,74881,EMU_0522-09A
74947,74945,EMU_1419+04A
74963,74957,EMU_0412-28
74963,74962,EMU_1336+00B
74963,74967,EMU_2129+00B
74963,75010,EMU_1921-51
75058,75059,EMU_2129-04B
75058,75060,EMU_0510-32
75058,75061,EMU_1210+04A
75058,75073,EMU_2151+04A
75076,75074,EMU_0445-32
75076,75075,EMU_1210+04B
75076,75088,EMU_2151+04B
75076,75089,EMU_0439-09A
75076,75093,EMU_1127-04A
